"Date" "EurUsd" "UsdJpy" "GbpUsd"
"2004-11-26" 1.32950437068939 102.529998779297 1.89350914955139
"2004-11-29" 1.32650625705719 103.029998779297 1.89250564575195
"2004-11-30" 1.32980489730835 102.900001525879 1.9095995426178
"2004-12-01" 1.33459675312042 102.51000213623 1.93311417102814
"2004-12-02" 1.32610166072845 103.099998474121 1.92400193214417
"2004-12-03" 1.34660184383392 102.089996337891 1.94408810138702
"2004-12-06" 1.33960270881653 103.129997253418 1.93670833110809
"2004-12-07" 1.34309315681458 102.860000610352 1.94510889053345
"2004-12-08" 1.33450770378113 104.029998779297 1.93708348274231
"2004-12-09" 1.33040642738342 104.680000305176 1.9232987165451
"2004-12-10" 1.32159757614136 105.019996643066 1.91328966617584
"2004-12-13" 1.33200132846832 104.690002441406 1.92381680011749
"2004-12-14" 1.33090221881866 105.199996948242 1.9274879693985
"2004-12-15" 1.34039270877838 104.25 1.94250190258026
"2004-12-16" 1.32510006427765 104.580001831055 1.93139684200287
"2004-12-17" 1.3312920331955 104.150001525879 1.94201147556305
"2004-12-20" 1.33920800685883 104.150001525879 1.94700253009796
"2004-12-21" 1.33689832687378 104.300003051758 1.92901229858398
"2004-12-22" 1.33910036087036 104.160003662109 1.91490173339844
"2004-12-23" 1.35120522975922 103.550003051758 1.92389094829559
"2004-12-24" 1.35380291938782 103.650001525879 1.92189419269562
"2004-12-27" 1.36239778995514 102.889999389648 1.93490958213806
"2004-12-28" 1.35939753055573 103.190002441406 1.92719066143036
"2004-12-29" 1.36069226264954 103.940002441406 1.91791343688965
"2004-12-30" 1.36280620098114 102.910003662109 1.92381680011749
"2004-12-31" 1.35650241374969 102.51000213623 1.91979110240936
"2005-01-03" 1.34700095653534 102.73999786377 1.90461695194244
"2005-01-04" 1.32819759845734 104.339996337891 1.88359391689301
"2005-01-05" 1.32800364494324 103.930000305176 1.8855117559433
"2005-01-06" 1.3183046579361 104.889999389648 1.87648952007294
"2005-01-07" 1.30609679222107 104.889999389648 1.87129259109497
"2005-01-10" 1.3109940290451 104.169998168945 1.87691211700439
"2005-01-11" 1.31169903278351 103.419998168945 1.87860453128815
"2005-01-12" 1.32559192180634 102.440002441406 1.89071643352509
"2005-01-13" 1.32110869884491 102.459999084473 1.88100755214691
"2005-01-14" 1.30989491939545 101.980003356934 1.87059235572815
"2005-01-17" 1.30510818958282 102.26000213623 1.8572860956192
"2005-01-18" 1.30179512500763 102.26000213623 1.86330783367157
"2005-01-19" 1.30030560493469 102.910003662109 1.87090742588043
"2005-01-20" 1.29629385471344 103.370002746582 1.87059235572815
"2005-01-21" 1.29989993572235 102.610000610352 1.87719392776489
"2005-01-24" 1.30390000343323 102.580001831055 1.8788868188858
"2005-01-25" 1.2971009016037 104.019996643066 1.86431515216827
"2005-01-26" 1.30780506134033 103.069999694824 1.88210499286652
"2005-01-27" 1.30410397052765 102.849998474121 1.8910026550293
"2005-01-28" 1.30449533462524 102.730003356934 1.8887882232666
"2005-01-31" 1.30519330501556 103.599998474121 1.88419723510742
"2005-02-01" 1.30390000343323 103.639999389648 1.88331007957458
"2005-02-02" 1.3032032251358 103.660003662109 1.88469445705414
"2005-02-03" 1.29720199108124 104.459999084473 1.88238847255707
"2005-02-04" 1.28579330444336 104.040000915527 1.87329065799713
"2005-02-07" 1.27640557289124 104.819999694824 1.85801088809967
"2005-02-08" 1.27699244022369 105.709999084473 1.85391187667847
"2005-02-09" 1.2812956571579 105.589996337891 1.85918533802032
"2005-02-10" 1.28759789466858 105.819999694824 1.86811125278473
"2005-02-11" 1.28569412231445 105.75 1.86989295482635
"2005-02-14" 1.29730296134949 105.099998474121 1.88718414306641
"2005-02-15" 1.30169343948364 104.550003051758 1.89530336856842
"2005-02-16" 1.30230379104614 105.480003356934 1.88419723510742
"2005-02-17" 1.30749726295471 105.480003356934 1.8950160741806
"2005-02-18" 1.30689918994904 105.629997253418 1.89451336860657
"2005-02-21" 1.30640399456024 105.440002441406 1.89681339263916
"2005-02-22" 1.32610166072845 104.230003356934 1.91120529174805
"2005-02-23" 1.32030630111694 105.050003051758 1.90639591217041
"2005-02-24" 1.3183046579361 105.5 1.90748703479767
"2005-02-25" 1.32460868358612 105.23999786377 1.91960680484772
"2005-02-28" 1.32170236110687 104.529998779297 1.91920173168182
"2005-03-01" 1.31719326972961 104.449996948242 1.91868615150452
"2005-03-02" 1.31359446048737 104.769996643066 1.91310656070709
"2005-03-03" 1.31059873104095 105.290000915527 1.9069048166275
"2005-03-04" 1.32469630241394 104.790000915527 1.9232987165451
"2005-03-07" 1.32219171524048 105.089996337891 1.91490173339844
"2005-03-08" 1.33520257472992 104.569999694824 1.92860317230225
"2005-03-09" 1.33770310878754 104.01000213623 1.92270720005035
"2005-03-10" 1.34379708766937 103.930000305176 1.92381680011749
"2005-03-11" 1.3472912311554 104.080001831055 1.9264110326767
"2005-03-14" 1.33650529384613 104.930000305176 1.91380226612091
"2005-03-15" 1.33100855350494 104.540000915527 1.91321659088135
"2005-03-16" 1.34109377861023 104.190002441406 1.92730224132538
"2005-03-17" 1.33790004253387 104.529998779297 1.92518734931946
"2005-03-18" 1.33219659328461 104.709999084473 1.92281806468964
"2005-03-21" 1.31610119342804 105.209999084473 1.89598619937897
"2005-03-22" 1.30770242214203 105.599998474121 1.88558280467987
"2005-03-23" 1.29929196834564 105.910003662109 1.87059235572815
"2005-03-24" 1.29319262504578 106.419998168945 1.86839044094086
"2005-03-25" 1.29560530185699 106.360000610352 1.87171280384064
"2005-03-27" 1.28950726985931 107.23999786377 1.86629831790924
"2005-03-28" 1.29379498958588 107.330001831055 1.87560963630676
"2005-03-29" 1.29150569438934 107.529998779297 1.87740540504456
"2005-03-30" 1.29669737815857 107.139999389648 1.88950192928314
"2005-03-31" 1.29090559482574 107.660003662109 1.88409078121185
"2005-04-03" 1.28500020503998 108.279998779297 1.87631344795227
