INF;R4M3;R4Y
2.310238623;7.332727748;2.609814501
1.820749718;6.896364839;2.254289914
1.950030843;7.116184034;2.111895726
2.234542155;8.143221472;1.962709923
2.474437654;8.16281725;2.536792269
2.644645385;8.252200612;3.587293736
2.42100388;7.851228193;4.661603004
2.470786266;7.909942258;3.873713921
2.730297254;8.246408703;4.042971792
2.99317993;8.269359601;3.683566086
3.589797658;9.391636218;4.325376758
4.032050033;9.674254629;4.357823326
3.963234049;9.514291788;3.69746105
4.106812064;9.91339478;3.817884665
4.076077779;9.189768699;4.003707272
3.773768164;12.38582093;3.494755838
4.004787037;12.29128546;3.833714278
4.395477378;12.1172145;3.344375494
4.159239732;11.71887883;2.666674834
4.289297431;7.749442141;2.503554198
4.657609473;7.70918834;1.533562178
4.155478674;7.698639999;1.922403042
4.196511466;7.513377692;2.75090552
4.230577335;8.187954674;1.664599147
3.409587833;8.693496448;1.407924879
3.269585914;7.500648679;0.251755667
3.422795311;8.413818816;-1.912004136
3.312631945;7.069668033;-1.084196197
3.483230228;5.532177326;-0.395157648
3.312490251;6.585410224;0.065755804
3.05458248;5.358288062;1.685821196
2.847638844;4.716990621;2.24330739
2.756535244;3.930839206;2.5068383
2.673063737;2.41302415;3.05031076
2.577070999;2.000352869;2.658816896
2.696543022;2.925196018;2.630408608
2.546605257;4.09822452;2.241417436
2.53093435;5.598965425;1.724505547
2.499035121;6.001722716;1.31447738
2.464232733;5.280747701;1.422878374
2.144388825;5.215496984;1.780047819
2.097769347;4.124977855;1.925144148
1.948602069;3.546553535;2.015925933
1.485009806;4.382125941;2.612643059
1.716818332;4.140614929;2.724101011
1.668835978;4.572639698;3.406027442
1.232687049;5.127169039;3.819707678
1.481686031;5.31232811;2.914767812
1.261294266;4.854176792;2.720435413
0.932742007;4.839366308;1.885641751
0.902996218;4.344969528;2.130413719
1.015688781;4.519472417;2.392955584
1.186701737;5.145900294;2.942606759
1.571913892;5.389389831;3.973093836
2.006779658;6.96402328;4.23211635
1.961576444;5.501989503;4.483312273
2.24709044;5.096060411;3.880582093
2.519846646;4.155745724;3.400852061
2.14010369;6.634942887;3.097950505
2.940787944;8.462274558;2.325970055
2.434112604;9.640913631;1.87494299
2.140340165;11.18255822;1.282702793
2.563768943;7.371727947;0.564380522
2.112645978;6.681566303;0.92211785
2.107017653;6.867360997;1.243895477
2.304186749;6.73335167;1.190171846
2.309351565;7.835823973;0.808988315
1.997738408;8.162559611;0.353420997
2.071909948;7.022151828;0.460500089
2.094088264;6.682463954;1.069108684
1.748728773;6.028739477;1.921377889
2.324053504;5.455307321;2.404035932
2.292298825;5.924396982;2.189481091
2.34065973;6.295515666;1.791251175
2.072159922;6.359751248;1.380571484
2.042536129;7.792061616;1.534948338
2.313088786;8.559566769;1.98041124
2.358847724;8.342515405;2.214595422
2.34455856;8.894155771;2.956881567
2.48535142;8.42365288;3.352388867
2.198103623;8.602954563;3.261396739
1.802327769;9.467446601;3.780621593
1.898020329;10.83930404;3.629357854
1.910901331;11.0493852;3.20395422
1.90928956;11.15070726;3.035539406
2.932854101;11.60160732;2.41948826
3.419977838;10.80036549;2.222527714
3.701193535;10.26650044;1.180027305
3.916331201;9.654165444;0.120136838
2.34778414;8.725270182;-2.079191801
1.01125666;6.057205842;-5.512507516
0.206956679;4.265215526;-5.398263413
-0.362030258;2.049605132;-4.555699595
0.42829655;-0.605919688;-2.370596152
1.107091985;-0.798474611;1.040285133
1.594260628;-1.977394207;2.228434587
1.718625146;-1.489150954;2.370531495
2.02753987;-0.638919122;2.418224735
2.479040218;0.060684428;2.842080946
2.760440826;1.536433403;1.90717418
2.707626327;2.294828393;1.455624253
2.94367698;2.229715967;0.55234528
2.687072426;2.849399904;-0.430967523
2.460694822;2.926946524;-0.779414468
2.545821342;2.453613776;-0.927455013
2.305495325;3.062891732;-1.055023931
1.854395565;2.067512841;-1.236075509
1.398956757;1.716958928;-0.409311254
1.339664189;1.613236485;0.070541919
0.807238219;0.443594963;0.750452211
0.650708014;0.878005978;1.524177828
0.561215942;1.539355332;1.196205366
0.351405633;2.295090371;1.26573331
0.163491347;5.074720196;1.473000731
-0.318225949;5.847121462;1.823711263
0.189349927;6.024776672;2.021748371
0.090045017;5.932848257;1.976075531
0.166555662;4.977741221;1.936258958
0.043685734;4.913924916;1.748449358
-0.086206902;5.065481451;1.670687598
0.269892027;5.062274524;1.672605096
0.738277387;4.980665124;2.029639469
1.760102104;5.341935197;2.043797934
1.516559368;4.672897953;2.482996916
1.448841936;4.79751453;2.847115792
1.4228179;4.18973453;2.753374176
1.3;3.145647375;2.399999997
1.7;4.243738848;2.199999989
2.1;3.593417127;1.599999997
1.9;4.275847097;1.199999982
