obs,DCRED,DINF,DM1,DPROD,DSPCRED,DSPR,DENERO,DFEB1998,DFEB2003,R_MICROSOFT,R_SP500,R_USTB3M
1988M05,4177.79999999993,-0.172693461737455,2.07,-0.0538999999999987,-0.0899999999999999,-0.080000000000001,0,0,0,6.22423088772209,0.317102789164898,0.529166666666667
1988M06,3143.34000000008,0.0836227900909187,1.56,1.9246,0,-0.169999999999999,0,0,0,14.4249608844547,4.23466174714766,0.555
1988M07,2923.82999999996,-0.00179547719299916,-0.269999999999996,-2.2978,0.01,-0.330000000000001,0,0,0,-11.8716306839382,-0.542602885742863,0.565
1988M08,5422.55999999994,-0.00178035731776072,1.64,2.2111,-0.05,-0.159999999999998,0,0,0,-17.3953307123438,-3.93648305886522,0.593333333333333
1988M09,1412.1100000001,0.248966003347606,1.64,0.245999999999995,-0.02,-0.23,0,0,0,4.40168854167743,3.8960366773457,0.626666666666667
1988M10,3157.6399999999,-0.336685615006129,-0.780000000000001,-0.0147000000000048,-0.18,-0.36,0,0,0,-6.42195927342938,2.56331199688036,0.625
1988M11,3554.74000000011,-0.250173554023234,-0.0900000000000034,-0.839399999999998,0.13,-0.239999999999999,0,0,0,-3.63676441708748,-1.90716331115824,0.635833333333333
1988M12,2257.68999999994,0.0829529070550575,3.03,-0.274199999999993,0.05,-0.200000000000002,0,0,0,11.9545150649783,1.45807958384394,0.685
1989M01,17105.3199999999,0.330576767826044,1.68000000000001,0.782299999999992,-0.05,-0.179999999999998,1,0,0,11.316099854548,6.86999676797488,0.710833333333333
1989M02,3869.92000000004,-0.0846578655316889,-0.330000000000005,0.197800000000001,-0.0600000000000012,-0.390000000000001,0,0,0,-0.21824905834305,-2.93712378918008,0.723333333333333
1989M03,7125.33999999997,0.161975418803988,1.58,-0.356999999999999,-0.0999999999999996,0.0299999999999994,0,0,0,-17.6356191739748,2.0592439573627,0.748333333333333
1989M04,4694.1100000001,0.0779917336221302,0.329999999999998,0.148200000000003,-0.0499999999999992,-0.299999999999999,0,0,0,11.3586413576925,4.88757510898649,0.7625
1989M05,4563.25,-0.0849663437193439,-1.46,-1.023,0.0700000000000005,0.17,0,0,0,7.94368306480347,3.45343445733571,0.7375
