HDI_group;Country;HDI;LifExp;Educ;GNIpc;Pop;PopUrbRat;PopL5;PopB1564;PopG65;DepRatB014;DepRatG65;FertRat;EmpRat;LFPRat;EmpAgrRat;EmpServRat;UnempRat;UnempRatB1524;NINIsRatB1524;HiSkLoSkEmpRat
3;Armenia;0.7600;74.9450;11.7939;9277.2328;2.9517;63.1000;0.2108;2.0105;0.3322;30.2930;16.5220;1.7559;48.4000;58.8000;33.3000;51.0000;17.7000;36.8000;36.5900;3.7125
3;Algeria;0.7590;76.6930;7.9865;13639.4349;42.2284;72.6000;4.9508;26.8103;2.6868;47.4870;10.0210;3.0500;36.3000;41.3000;9.3000;60.0000;12.2000;30.0000;20.9500;0.8419
3;North Macedonia;0.7594;75.6880;9.6801;12873.7538;2.0830;58.0000;0.1158;1.4542;0.2847;23.6590;19.5810;1.5000;43.2000;55.0000;16.1000;53.4000;21.6000;44.7000;24.1400;2.0762
3;Peru;0.7591;76.5160;9.2154;12322.6568;31.9893;77.9000;2.7567;21.1516;2.5874;39.0050;12.2330;2.2700;75.0000;77.2000;27.5000;56.9000;2.8000;5.6000;17.6800;0.9975
3;China;0.7576;76.7040;7.9000;16126.5680;1427.6478;59.2000;85.9117;1016.5154;155.9118;25.1070;15.3380;1.6900;65.7000;68.7000;26.8000;44.6000;4.4000;10.6000;;
3;Ecuador;0.7579;76.8000;8.9855;10141.1456;17.0844;63.8000;1.6534;11.0731;1.2228;43.2450;11.0430;2.4400;66.4000;69.1000;27.5000;54.0000;3.9000;8.9000;17.6700;0.5418
3;Azerbaijan;0.7539;72.8640;10.4797;15240.1439;9.9495;55.7000;0.8725;7.0080;0.6164;33.1790;8.7960;2.0835;62.9000;66.3000;36.1000;49.5000;5.2000;13.8000;;1.4960
3;Ukraine;0.7497;71.9530;11.3400;7994.2132;44.2462;69.4000;2.2504;29.9781;7.2717;23.3380;24.2570;1.4435;48.9000;54.0000;15.3000;60.4000;9.4000;19.6000;16.4700;1.8962
3;Dominican Republic;0.7446;73.8920;7.9353;15074.2584;10.6271;81.1000;1.0089;6.9013;0.7527;43.0810;10.9070;2.3600;60.3000;64.0000;9.5000;71.1000;5.8000;13.4000;24.3400;0.7774
3;Saint Lucia;0.7449;76.0570;8.4915;11528.3671;0.1819;18.7000;0.0111;0.1304;0.0178;25.8550;13.6840;1.4442;53.4000;67.5000;10.0000;67.8000;20.9000;45.2000;;
3;Tunisia;0.7392;76.5050;7.1723;10676.9636;11.5652;68.9000;1.0359;7.8082;0.9617;35.8000;12.3170;2.2000;39.3000;46.5000;15.0000;52.1000;15.5000;34.8000;;0.9494
3;Mongolia;0.7347;69.6890;10.1720;10783.7120;3.1702;68.4000;0.3803;2.0767;0.1295;46.4220;6.2340;2.9023;56.1000;59.9000;28.7000;52.2000;6.3000;16.6000;19.8200;3.2065
