RENTAB;AT;VT;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
0.039999999;50.90698107;70.80999966;0.090000004;2.109999895;0.460000008;1.320000052;0.779999971;0.639999986;0.150000006;1.159999967;0.970000029;0.550000012
0.109999999;99.48430615;106.6977506;0.170000002;1.159999967;0.170000002;1.340000033;0.75999999;0.319999993;0.230000004;0.550000012;0.709999979;0.170000002
0.140000001;79.83804254;123.9651121;0.349999994;2.75;0.079999998;1.320000052;0.300000012;0.209999993;0.610000014;0.25;0.560000002;0.090000004
0.289999992;129.0242193;170.7157455;0.129999995;1.879999995;0.340000004;1.710000038;0.959999979;0.289999992;0.300000012;0.5;0.430000007;0.370000005
0.02;52.45732795;62.80281306;0.129999995;1.529999971;0.150000006;1.970000029;1.330000043;0.430000007;0.180000007;0.850000024;2.50E-39;0.189999998
0.100000001;92.75858054;157.5905073;0.589999974;3.420000076;0.119999997;0.910000026;0.579999983;0.409999996;0.200000003;0.569999993;0.649999976;0.140000001
0.140000001;518.0128247;539.1533085;0.159999996;1.110000014;0.25999999;1.090000033;0.589999974;0.670000017;0.109999999;0.810000002;0.469999999;0.389999986
0.109999999;86.4875124;117.9192397;0.170000002;2.029999971;0.230000004;1.450000048;0.75;0.449999988;0.270000011;0.839999974;0.670000017;0.25999999
0.289999992;482.9918734;507.7554932;0.430000007;1.100000024;0.25999999;1.830000043;1.169999957;0.280000001;0.200000003;0.430000007;0.519999981;0.419999987
0.039999999;87.35670469;73.69980776;0.370000005;0.660000026;0.050000001;1.230000019;0.330000013;0.469999999;0.389999986;0.529999971;1.830000043;0.050000001
0.170000002;57.39746799;71.52163426;0.039999999;1.679999948;0.230000004;2.349999905;1.330000043;0.109999999;0.389999986;0.25999999;0.709999979;0.239999995
0.159999996;149.9047705;188.6700592;0.170000002;1.710000038;0.25;1.879999995;1.049999952;0.289999992;0.310000002;0.649999976;0.310000002;0.319999993
0.140000001;46.99305875;54.05488988;0.02;1.379999995;0.389999986;1.370000005;0.660000026;0.519999981;0.239999995;0.819999993;0.779999971;0.389999986
