GALIM,GTOTAL
102.44171,1431.4489
839.17064,11709.917
1370.0002,19099.166
1539.6386,21434.971
3041.8132,42283.596
1575.5609,21894.347
876.89725,12177.943
1050.1443,14564.103
1315.3459,18216.867
1536.5135,21251.776
1137.1123,15723.2
847.28122,11706.518
2518.6273,34763.052
1068.592,14712.8
1246.7244,17111.214
1137.1123,15603.336
1170.8858,16052.518
1561.8973,21375.348
1013.7759,13860.735
679.74487,9292.5548
1342.673,18339.203
787.78046,10755.02
1044.7536,14258.882
1109.7851,15146.123
1306.7507,17813.407
1708.3661,23283.905
1422.8326,19385.851
1211.017,16497.992
1312.0527,17859.129
787.78046,10716.095
1653.1902,22470.6
1520.2177,20647.513
947.59358,12849.758
1781.1217,24132.221
1400.895,18962.62
1826.6669,24724.539
465.77578,6302.1316
1781.1217,24081.557
723.37952,9765.5854
799.84412,10796.108
1587.0757,21383.998
3277.6208,44155.7
911.05619,12273.092
1085.7221,14620.636
839.54242,11290.289
2479.7853,33339.512
823.73006,11064.566
1479.589,19871.486
1712.6014,22985.068
1364.6635,18315.107
850.46237,11405.87
1227.6889,16460.097
863.11226,11559.345
412.58129,5520.7497
3302.0283,44126.043
1274.1528,17015.755
1238.7482,16495.521
1342.673,17878.282
1412.1354,18778.705
1712.6014,22763.876
1932.0281,25677.479
978.98865,12983.627
2157.7807,28611.06
736.61335,9765.5854
1202.3891,15937.391
1808.4488,23954.897
2068.6639,27399.444
1078.8903,14284.832
1211.8765,16034.909
417.33434,5516.2187
1358.4854,17954.897
904.22441,11939.45
1524.1707,20100.093
802.64691,10580.991
1575.5609,20750.695
917.88798,12050.664
1492.2015,19576.151
787.23159,10311.276
696.79981,9110.9052
640.4417,8372.2583
1174.3222,15327.773
1123.4487,14661.724
1574.142,20529.194
1043.3358,13605.19
874.0322,11396.561
1539.6386,20070.436
1305.8912,16987.334
610.81043,7944.393
1575.5609,20436.206
1370.0002,17763.979
1073.8628,13916.898
1318.61,17071.671
1322.5631,17121.203
1439.8665,18637.627
2685.3461,34734.631
1007.0048,13024.405
1449.062,18740.809
1152.6382,14877.562
1178.2244,15190.609
453.16325,5836.68
2246.8974,28937.905
929.44947,11955.514
1276.3591,16381.835
828.30638,10590.053
2031.2817,25941.304
806.15039,10283.596
1260.4487,16053.136
859.89375,10939.759
374.10143,4758.3153
1263.2667,16061.786
846.00243,10755.02
1068.592,13582.947
1438.5204,18249.408
653.80512,8289.1566
1280.4279,16232.932
582.21973,7378.4368
1360.5875,17242.2
958.97211,12120.276
2168.1801,27396.664
2098.1398,26489.342
2381.1866,30062.815
1130.2805,14268.767
642.59048,8109.3605
1871.6983,23612.604
2062.1356,26003.089
1692.0049,21333.951
656.02632,8270.312
1721.7105,21704.047
859.66601,10836.886
1375.7576,17329.317
1895.1872,23849.655
2050.9619,25786.222
875.47838,11000.618
793.53786,9970.9608
746.10076,9372.8761
2274.2246,28553.599
1678.3413,21059.623
1634.5128,20506.024
855.35479,10728.864
727.98544,9112.1409
537.43359,6719.8023
1356.3366,16921.841
886.26326,11054.989
1315.3459,16394.501
2624.1053,32672.227
822.00011,10223.787
2333.6358,29005.046
1252.003,15554.897
743.58946,9224.0964
808.377,10001.854
2192.2431,27101.637
1671.4083,20642.158
2712.6732,33482.854
537.43359,6628.3596
960.01382,11833.426
1790.2307,22023.684
1539.6386,18820.204
2260.561,27576.769
2397.8039,29238.183
1137.1123,13852.332
2397.8039,29206.055
2740.0004,33339.512
991.92232,12050.664
