obs,PRSAL,YER,POPACT,PCS,PCR,HDYR,FWR,CPE,NFWR,HCOCR,URX,ERX,XTR,XTW,REER,MTR,DMTR,MRP,CIR,M2PIR,HHCR,ICC,PIR,QT,LTR,UCAP,PRCPE,CPI,YER_FTEE,PUCPE,CPICORE,ULC,TIPOIVA
1999Q1,9595.6,74.735635,17399.4428534098,1935682.80277391,76.7402,80.5767895126381,127.418680191249,5.66410670978173,38.1967825069422,53.941580109866,16.6399719254333,83.3517150302522,69.416,57.2065246338216,100.027895,67.488424,73.5657809616242,111.441328209981,78.2063597025807,58.6614430141465,28.0901225347254,22.1666666666667,80.7390895852539,5.11948494772397,2.16018084713283,80.41619,5.7428384739941,68.0860006666667,0.0050021508363062,6.37290945790081,70.5740553333333,1132.33424883372,11.304464773147
1999Q2,9727.9,75.862374,17485.1919654302,1955521.7136611,78.0371,81.6987554106407,129.453438376486,5.7079320385243,39.2784279592614,55.7487885675319,15.6672313612573,84.16232941714,70.3633,58.6529960053262,99.0750986666667,69.248522,75.3340298559797,111.455014059248,81.0006427826816,60.4752884103466,29.1203987172737,19,83.5738758231535,5.17813252140866,2.06570915756435,80.17492,5.77689324013687,68.4586556666667,0.00502173683374374,6.29791223452205,71.0119176666667,1136.64499504826,11.271948845676
1999Q3,9918.5,76.768836,17615.0687861692,1976074.16709198,79.2657,83.6339319273249,128.849621799782,5.76786771380086,40.4198473762292,57.3780076030643,15.2994641275032,84.7254050684651,72.1646,60.1278295605859,99.1521376666667,71.44104,76.5898499159225,113.703927916484,81.5076510536729,61.0113214245132,30.2378962462589,1.33333333333333,85.4533704956776,4.86279562936015,2.77586211206667,79.87985,5.81900022440916,68.9575756666667,0.00502914129238509,6.44093057070156,71.3787496666667,1146.8891761968,11.2669930586269
1999Q4,10052.2,77.672155,17763.8411207634,1997569.88654701,80.1265,84.6956553446982,134.783363511496,5.77461497113744,41.793245190376,59.5235608438246,14.9496010857616,85.2042819841875,74.3554,62.2833555259654,98.2923663333333,73.95689,78.647846665762,114.679671369452,83.7625887330928,60.9308520219458,31.4321582949192,16.5,86.7497660069859,5.41592063816899,2.67707791256617,81.55721,5.82750300057825,69.478635,0.00503240521173483,6.37313700843957,71.7596603333333,1147.48608829668,11.3729911015692
2000Q1,10248,78.910737,17922.2025285088,2019680.38300639,81.3552,86.1721196470245,133.318473312529,5.82996602075489,42.9871568373043,61.3501808953094,14.5156160727137,85.5630006068564,76.7223,64.6666666666667,98.100159,75.955898,80.5377350220029,117.941401873964,85.1163596252867,62.1427959019466,32.4550132995677,22.5,89.1677734166925,5.8555530370673,2.68567569440925,80.89084,5.88956782996864,70.1247163333333,0.00503790601018936,6.64821910032638,72.1704086666667,1157.22008488518,11.3700781576253
2000Q2,10394.1,79.879029,18084.4232826236,2042366.49123679,81.7588,87.294013278687,130.939991734801,5.87411582252147,44.4539574505672,63.4811503295499,13.9968550143313,85.9970648131501,78.335,66.6333333333333,97.5666456666667,76.422107,81.5499285351793,119.362121063787,86.315109864137,63.5724336650996,33.7847986914151,29.6666666666667,89.700429269418,5.3613106521157,2.38889034531811,81.40675,5.92073256356309,70.5976073333333,0.00503622297599758,6.55147996034556,72.644564,1166.37326236691,11.2550318495925
2000Q3,10511.6,80.745954,18247.6062459147,2065501.04773798,82.7578,88.3588276839747,128.660584787568,5.94664526677367,46.0061030655734,63.6179746881178,13.6756833177915,86.3334113267139,79.3994,68.3666666666667,98.0372166666667,78.286031,82.7564019403592,119.479743570205,87.944751869292,63.2082338313655,34.8936503250858,14.8333333333333,90.8343405729378,5.24074131549442,1.94367950836748,81.5145,5.98217189099745,71.4306153333333,0.00504974665574324,6.72017860939825,73.234247,1177.61259567554,11.3145657294642
2000Q4,10649.7,81.637113,18390.9704343046,2088894.17875893,82.6232,89.0134854992251,124.685797475866,5.93021190955369,47.3913415097771,64.0210021651081,13.3000244206805,86.6183444277628,81.8571,69.8,97.555953,78.248158,84.2515575069293,121.81939823262,89.0102002425082,62.7238612845679,36.1955061248432,12.6666666666667,92.1400257896112,4.59270931842998,1.36361280413756,81.18579,5.96155990217015,72.269166,0.00504552586201569,6.63025649973827,73.8464896666667,1175.34070218492,11.0686361477328
2001Q1,10809.9,82.452133,18545.4853143434,2112302.01353981,83.7855,89.5984236656653,127.765419514754,6.01294408650794,49.0975501408404,64.0781224211368,13.1853162104863,86.7727235737127,83.7653,69.0333333333333,99.1834976666667,80.412155,85.7249036787447,119.012640371306,90.9582168890061,64.9943438129486,37.7106227419345,15.8333333333333,90.774744631845,4.58714244006895,1.22410276235985,79.90908,6.05976037845744,72.8286533333333,0.00504491868376612,6.82785299806577,74.5058406666667,1191.88126973321,11.4569399244031
2001Q2,10835.8,83.107175,18666.1993486382,2136215.88531602,84.894,90.2680181372564,122.548582250709,6.08572781237481,50.7424978483314,64.0804955409046,13.1635860460391,86.9115056929185,81.6003,67.5666666666667,98.8069526666667,80.110445,85.3771869118246,116.315359961865,92.6887124447327,66.7986246445956,39.1041830037988,18.6666666666667,91.1127572424943,4.40468813367829,1.21658999557595,81.8053599999999,6.12990202298712,73.4733373333333,0.0050622323674705,6.81100321387843,75.131417,1202.18262825729,11.433785559931
2001Q3,10947,83.934495,18748.3213103018,2159946.33522151,86.064,91.1193582840188,115.833795457875,6.18423524311827,52.398678128047,64.0347322049717,12.6942517032715,87.2320015136182,81.4415,66.3666666666667,98.9736826666667,80.256454,85.8243194645255,114.829812402319,94.5031717118826,67.3240018908862,40.443037951842,10.8333333333333,89.9234729496059,3.73295216980806,1.61528371903925,79.31508,6.23338615409392,74.0031053333333,0.00508311904992612,7.003800967519,75.8456683333333,1216.62215312627,11.4328464368406
2001Q4,11035.7,84.529421,18818.1764459588,2183487.5799898,85.9908,91.8823764721115,124.576664703068,6.17251888736264,54.326002841619,64.9551386656563,12.4356580413287,87.604957218625,81.1325,66.2,99.701593,78.96255,85.9706206640788,112.178546527826,95.6442390408175,67.9536222415485,41.8363101149722,4.33333333333333,88.7902063793039,3.75700998767403,2.03344992358153,78.3091600000001,6.22156507655726,74.326344,0.0050758056012586,6.91253951527924,76.5806406666667,1216.06684184912,11.5308390702385
2002Q1,11145,85.010429,18820.6241444411,2207071.16293509,86.9861,92.0813620328092,123.007841037755,6.21874201697369,56.4550420026033,65.1895929798876,11.8701391609465,88.1856460525211,81.0474,67.6,99.7343033333333,80.116812,86.8543306558866,112.466989248688,97.8633198927974,71.8101802286819,42.9300079361088,8.83333333333333,88.0686260644537,3.70133367428454,2.02117347341983,78.66076,6.26844341520419,75.1194736666667,0.00507582525779044,7.08353124787949,77.3262936666667,1225.16865753585,11.3084203058737
2002Q2,11223.7,85.649451,18880.3872865148,2231172.67318676,87.3376,92.584974687154,118.982637120362,6.29106955301946,57.5291843881202,66.4602860560557,11.324044387921,88.5629247077242,83.2897,69.2333333333333,101.254133333333,82.335359,88.6316514837093,109.58305741451,99.5777199366654,75.3542377890549,44.235577960345,15,88.4916474712613,3.44862829583058,1.77981826677337,77.9703800000001,6.34160552141091,76.0670796666667,0.00507925533429009,7.07925470870182,78.062515,1238.58107910985,11.2666698707363
2002Q3,11302.7,86.167701,18993.5716877717,2255107.65093805,88.0715,93.3196561938533,113.48018585226,6.39559562083675,61.0337810379683,68.1853142274654,11.3910858553718,88.6700835769439,82.6217,70.6333333333333,101.900006666667,82.588929,88.8027383998645,108.318360476158,100.895061700833,76.3019757019488,46.2370204595033,-0.333333333333333,88.9278988379186,2.68541398123573,1.33267249902253,79.7802,6.44808736775564,76.5764356666667,0.00509403862752285,7.28009414929388,78.6865603333333,1255.50591357546,11.3183915453845
2002Q4,11413.5,86.81484,19150.3168812723,2279895.50028667,88.5577,94.0645487033666,112.785500761218,6.40998454640583,63.1436868765659,69.7045645568708,11.2138405957608,88.7822356628109,85.4632,71.3,102.814436666667,86.12909,90.7107750241982,107.040457234225,102.117373721624,77.2639050611691,47.6240473048322,-1,89.8525006587806,2.76531358368631,0.591712567843595,81.2256299999999,6.46086854648951,77.2683943333333,0.00509225733793201,7.2096260938743,79.3077423333333,1258.77074174122,11.2625851805958
