Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1939-11-30,12.67,0.6,0.87,14.0,2.2350000000000003,235.72444500000006,11.162957142857143,16.18628785714286,16.59923850994663
1939-10-31,12.9,0.58,0.84,14.0,2.2475,240.00357857142862,10.790858571428572,15.628140000000002,16.82120480626563
1939-09-30,12.77,0.56,0.81,14.1,2.26,235.89993829787238,10.344868085106388,14.963112765957453,16.452835577060956
1939-08-31,11.54,0.55,0.793333,13.8,2.2725,217.81248260869566,10.38101086956522,14.973815447608697,15.12008234333398
1939-07-31,11.71,0.54,0.776667,13.8,2.285,221.02115869565222,10.192265217391308,14.659251943695654,15.270952598570252
1939-06-30,11.43,0.53,0.76,13.8,2.2975000000000003,215.73628043478266,10.003519565217394,14.344669565217394,14.833828921489784
1939-05-31,11.23,0.526667,0.743333,13.8,2.31,211.96136739130438,9.940610639347828,14.030087186739133,14.502929499657764
1939-04-30,10.83,0.523333,0.726667,13.8,2.3225,204.41154130434785,9.877682838913046,13.715523682826088,13.916994579812396
1939-03-31,12.39,0.52,0.71,13.9,2.335,232.17344676258998,9.74416402877698,13.30453165467626,15.729223743214215
1939-02-28,12.4,0.516667,0.686667,13.9,2.3474999999999997,232.36083453237416,9.681707685107915,12.867299771438852,15.66469692895476
1939-01-31,12.5,0.513333,0.663333,14.0,2.36,232.56160714285718,9.550523798357146,12.34126308407143,15.599634410919279
1938-12-31,12.69,0.51,0.64,14.0,2.3766666666666665,236.0965435714286,9.488513571428573,11.907154285714288,15.756484438993999
1938-11-30,13.07,0.56,0.633333,14.0,2.393333333333333,243.16641642857147,10.418760000000004,11.783115226928574,16.149571800715506
1938-10-31,13.06,0.61,0.626667,14.0,2.4099999999999997,242.9803671428572,11.34900642857143,11.65909477307143,16.06114764333344
1938-09-30,11.75,0.66,0.62,14.1,2.4266666666666667,217.05750000000003,12.192165957446813,11.45324680851064,14.282330508639966
1938-08-31,12.31,0.686667,0.67,14.1,2.4433333333333334,227.40236808510645,12.684784881063832,12.376895744680855,14.903588512604365
1938-07-31,12.24,0.713333,0.72,14.1,2.46,226.10925957446815,13.17738533170213,13.300544680851067,14.770328017492062
1938-06-30,10.21,0.74,0.77,14.1,2.4766666666666666,188.6091127659575,13.670004255319151,14.22419361702128,12.288966307788126
1938-05-31,9.98,0.753333,0.836667,14.1,2.493333333333333,184.36032765957452,13.916304480638301,15.455731689574472,11.992275930545693
1938-04-30,9.89,0.766667,0.903333,14.2,2.51,181.41115563380288,14.062886395985918,16.569735435000005,11.78951772068418
1938-03-31,10.31,0.78,0.97,14.1,2.5266666666666664,190.4564106382979,14.408923404255324,17.91878936170213,12.377286234697685
1938-02-28,11.04,0.786667,1.02333,14.1,2.5433333333333334,203.941685106383,14.532082753404259,18.90395331702128,13.263076236460867
1938-01-31,11.31,0.793333,1.07667,14.2,2.56,207.45805563380287,14.5520178293662,19.749236495070427,13.511461918562416
1937-12-31,11.02,0.8,1.13,14.4,2.57,199.3311375,14.470500000000005,20.43958125,13.008483033706135
1937-11-30,11.2,0.79,1.16,14.5,2.58,201.1898482758621,14.191069655172418,20.83752,13.158119166486065
1937-10-31,12.28,0.78,1.19,14.6,2.59,219.07940547945208,13.915467123287675,21.230007534246578,14.361659574753357
1937-09-30,14.37,0.77,1.22,14.6,2.6,256.36572123287675,13.737063698630141,21.76521780821918,16.84788286270581
1937-08-31,16.74,0.793333,1.20333,14.5,2.6100000000000003,300.70696965517243,14.250941598413796,21.615873225517245,19.806982577380957
1937-07-31,16.57,0.816667,1.18667,14.5,2.62,297.65319517241386,14.670099091241381,21.3166033262069,19.646723279607624
1937-06-30,15.64,0.84,1.17,14.4,2.63,282.89827500000007,15.194025000000002,21.163106250000002,18.71165996036496
1937-05-31,16.25,0.81,1.15,14.4,2.64,293.9320312500001,14.651381250000004,20.80134375,19.474174686572102
